 t = 34.549373125	 r = 0.5	 u = -0.00691898027435	 x1 = 0.00725102424622	 x0 = 0.547851443291
 t = 34.589374525	 r = 0.5	 u = -0.000952743925154	 x1 = 0.0153076648712	 x0 = 0.547851443291
 t = 34.62960115	 r = -0.5	 u = -0.234527975321	 x1 = 0.0104736089706	 x0 = 0.544628977776
 t = 34.669376525	 r = -0.5	 u = -0.234527975321	 x1 = 0.132128953934	 x0 = 0.515624880791
 t = 34.709377125	 r = -0.5	 u = -0.0714224874973	 x1 = 0.288427710533	 x0 = 0.322265625
 t = 34.749378125	 r = -0.5	 u = 0.108285501599	 x1 = 0.322265625	 x0 = 0.0507568120956
 t = 34.789379525	 r = -0.5	 u = 0.11876437068	 x1 = 0.215917944908	 x0 = -0.181274414062
 t = 34.829593575	 r = -0.5	 u = 0.0547377541661	 x1 = 0.101513624191	 x0 = -0.318237304688
 t = 34.869381525	 r = -0.5	 u = 0.0547377541661	 x1 = 0.0314209461212	 x0 = -0.367382764816
 t = 34.909382125	 r = -0.5	 u = -0.0141874663532	 x1 = 0.00241696834564	 x0 = -0.367382764816
 t = 34.949383125	 r = -0.5	 u = -0.0268302112818	 x1 = 0.0177246332169	 x0 = -0.360937476158
 t = 34.989384525	 r = -0.5	 u = -0.0131788458675	 x1 = 0.0273926258087	 x0 = -0.364965796471
 t = 35.029601	 r = -0.5	 u = 0.00626794993877	 x1 = 0.0378662347794	 x0 = -0.391552686691
 t = 35.069386525	 r = -0.5	 u = 0.00626794993877	 x1 = 0.0322265625	 x0 = -0.407665967941
 t = 35.109387125	 r = -0.5	 u = 0.00801477208734	 x1 = 0.0193359851837	 x0 = -0.426196336746
 t = 35.149388125	 r = -0.5	 u = -0.011574588716	 x1 = 0.0104736089706	 x0 = -0.433447241783
 t = 35.189389525	 r = -0.5	 u = -0.00486976373941	 x1 = 0.0185302495956	 x0 = -0.437475562096
 t = 35.229605925	 r = -0.5	 u = -0.00364817958325	 x1 = 0.0145019292831	 x0 = -0.439086914062
 t = 35.269391525	 r = -0.5	 u = -0.00364817958325	 x1 = 0.0136963129044	 x0 = -0.447143554688
 t = 35.309392125	 r = -0.5	 u = -0.00106295384467	 x1 = 0.0128905773163	 x0 = -0.445532202721
 t = 35.349393125	 r = -0.5	 u = -0.00403190171346	 x1 = 0.000805616378784	 x0 = -0.442309617996
 t = 35.389394525	 r = -0.5	 u = -0.0109213031828	 x1 = 0.00161135196686	 x0 = -0.439086914062
 t = 35.4296109	 r = -0.5	 u = -0.00283853430301	 x1 = 0.00644528865814	 x0 = -0.440698266029
 t = 35.469396525	 r = -0.5	 u = -0.00283853430301	 x1 = 0.00886225700378	 x0 = -0.441503882408
 t = 35.509397125	 r = -0.5	 u = -0.00327885802835	 x1 = 0.0120849609375	 x0 = -0.443115234375
 t = 35.549398125	 r = -0.5	 u = -0.00643247971311	 x1 = 0.0112793445587	 x0 = -0.438281297684
